row_id,N,p,q,r,s,h_pq,h_rq,h_ps,h_rs_square,h_rs_or_sqrt_factor,fourth_norm,defect,primitive,canonical_key,duplicate_of,x,y,yc,v3_x,v3_yc,mcc_live,A,B,C,D,delta,A_in_S,B_in_S,C_in_S,D_in_S,love_relation_ok,notes
11,867,780,416,87,451,884,425,901,False,17*sqrt(730),17*sqrt(730)/867,730,True,867:87:416,,260/289,416/867,-35/1734,0,-1,True,8/15,451/780,87/416,87/451,867/416,True,True,True,False,True,THREE_DISTANCE_SEED
12,996,765,520,231,476,925,569,901,False,7*sqrt(5713),7*sqrt(5713)/996,5713,True,996:231:476,,255/332,130/249,11/498,1,-1,True,104/153,28/45,231/520,33/68,249/130,True,True,True,False,True,THREE_DISTANCE_SEED
13,1443,960,644,483,799,1156,805,1249,False,1*sqrt(871690),1*sqrt(871690)/1443,871690,True,1443:483:644,,320/481,644/1443,-155/2886,0,-1,True,161/240,799/960,3/4,483/799,1443/644,True,True,True,False,True,THREE_DISTANCE_SEED
14,7800,2924,693,4876,7107,3005,4925,7685,False,115*sqrt(5617),115*sqrt(5617)/7800,5617,True,7800:693:2924,,731/1950,231/2600,-1069/2600,-1,0,True,693/2924,7107/2924,4876/693,212/309,2600/231,True,True,True,False,True,THREE_DISTANCE_SEED
15,6240,3080,711,3160,5529,3161,3239,6329,False,1*sqrt(40555441),1*sqrt(40555441)/6240,40555441,True,6240:711:3080,,77/156,237/2080,-803/2080,-1,0,True,711/3080,5529/3080,40/9,3160/5529,2080/237,True,True,True,False,True,THREE_DISTANCE_SEED
16,996,520,765,476,231,925,901,569,False,7*sqrt(5713),7*sqrt(5713)/996,5713,True,996:231:476,12,130/249,255/332,89/332,-1,0,True,153/104,231/520,28/45,68/33,332/255,True,True,True,False,True,THREE_DISTANCE_SEED
17,867,416,780,451,87,884,901,425,False,17*sqrt(730),17*sqrt(730)/867,730,True,867:87:416,11,416/867,260/289,231/578,-1,1,True,15/8,87/416,451/780,451/87,289/260,True,True,True,False,True,THREE_DISTANCE_SEED
18,12675,9588,784,3087,11891,9620,3185,15275,False,65*sqrt(35722),65*sqrt(35722)/12675,35722,True,12675:784:3087,,3196/4225,784/12675,-11107/25350,0,-1,True,196/2397,253/204,63/16,3087/11891,12675/784,True,True,True,False,True,THREE_DISTANCE_SEED
19,11184,3465,880,7719,10304,3575,7769,10871,False,1*sqrt(165755377),1*sqrt(165755377)/11184,165755377,True,11184:880:3465,,1155/3728,55/699,-589/1398,1,-1,True,16/63,1472/495,7719/880,7719/10304,699/55,True,True,True,False,True,THREE_DISTANCE_SEED
20,3364,945,900,2419,2464,1305,2581,2639,False,29*sqrt(14177),29*sqrt(14177)/3364,14177,True,3364:900:945,,945/3364,225/841,-391/1682,3,0,False,20/21,352/135,2419/900,2419/2464,841/225,True,True,True,False,True,THREE_DISTANCE_SEED
21,2145,2016,920,129,1225,2216,929,2359,False,1*sqrt(1517266),1*sqrt(1517266)/2145,1517266,True,2145:129:920,,672/715,184/429,-61/858,1,-1,True,115/252,175/288,129/920,129/1225,429/184,True,True,True,False,True,THREE_DISTANCE_SEED
22,3364,900,945,2464,2419,1305,2639,2581,False,29*sqrt(14177),29*sqrt(14177)/3364,14177,True,3364:900:945,20,225/841,945/3364,-737/3364,2,0,False,21/20,2419/900,352/135,2464/2419,3364/945,True,True,True,False,True,THREE_DISTANCE_SEED
23,1443,644,960,799,483,1156,1249,805,False,1*sqrt(871690),1*sqrt(871690)/1443,871690,True,1443:483:644,13,644/1443,320/481,159/962,-1,1,True,240/161,3/4,799/960,799/483,481/320,True,True,True,False,True,THREE_DISTANCE_SEED
24,10879,6864,1152,4015,9727,6960,4177,11905,False,1*sqrt(110734754),1*sqrt(110734754)/10879,110734754,True,10879:1152:4015,,624/989,1152/10879,-8575/21758,1,0,False,24/143,9727/6864,4015/1152,4015/9727,10879/1152,True,True,True,False,True,THREE_DISTANCE_SEED
25,10952,396,1155,10556,9797,1221,10619,9805,False,37*sqrt(151505),37*sqrt(151505)/10952,151505,True,10952:396:1155,10,99/2738,1155/10952,-4321/10952,2,0,False,35/12,9797/396,1508/165,10556/9797,10952/1155,True,True,True,False,True,THREE_DISTANCE_SEED
26,58956,51480,1157,7476,57799,51493,7565,77401,False,119*sqrt(239857),119*sqrt(239857)/58956,239857,True,58956:1157:7476,,4290/4913,1157/58956,-28321/58956,1,-1,True,89/3960,57799/51480,84/13,1068/8257,58956/1157,True,True,True,False,True,THREE_DISTANCE_SEED
27,136764,3680,1365,133084,135399,3925,133091,135449,False,1*sqrt(36044240257),1*sqrt(36044240257)/136764,36044240257,True,136764:1365:3680,,920/34191,455/45588,-22339/45588,-2,-1,True,273/736,135399/3680,19012/195,133084/135399,45588/455,True,True,True,False,True,THREE_DISTANCE_SEED
28,13156,6837,1440,6319,11716,6987,6481,13565,False,1*sqrt(177194417),1*sqrt(177194417)/13156,177194417,True,13156:1440:6319,,6837/13156,360/3289,-2569/6578,1,0,False,480/2279,11716/6837,6319/1440,6319/11716,3289/360,True,True,True,False,True,THREE_DISTANCE_SEED
29,14355,8036,1440,6319,12915,8164,6481,15211,False,1*sqrt(206726986),1*sqrt(206726986)/14355,206726986,True,14355:1440:6319,,8036/14355,32/319,-255/638,-2,1,True,360/2009,45/28,6319/1440,6319/12915,319/32,True,True,True,False,True,THREE_DISTANCE_SEED
30,9165,5952,1540,3213,7625,6148,3563,9673,False,1*sqrt(68463994),1*sqrt(68463994)/9165,68463994,True,9165:1540:3213,,1984/3055,308/1833,-1217/3666,0,-1,True,385/1488,7625/5952,459/220,3213/7625,1833/308,True,True,True,False,True,THREE_DISTANCE_SEED
31,37635,35360,1596,2275,36039,35396,2779,50489,False,1*sqrt(1303985146),1*sqrt(1303985146)/37635,1303985146,True,37635:1596:2275,,544/579,532/12545,-11481/25090,-1,1,True,399/8840,36039/35360,325/228,2275/36039,12545/532,True,True,True,False,True,THREE_DISTANCE_SEED
32,205656,199920,1673,5736,203983,199927,5975,285617,False,1*sqrt(41641965985),1*sqrt(41641965985)/205656,41641965985,True,205656:1673:5736,,8330/8569,1673/205656,-101155/205656,0,-1,True,239/28560,11999/11760,24/7,5736/203983,205656/1673,True,True,True,False,True,THREE_DISTANCE_SEED
33,8400,164,1677,8236,6723,1685,8405,6725,False,5*sqrt(4521217),5*sqrt(4521217)/8400,4521217,True,8400:164:1677,5,41/2100,559/2800,-841/2800,-1,0,True,1677/164,6723/164,8236/1677,8236/6723,2800/559,True,True,True,False,True,THREE_DISTANCE_SEED
34,20625,20128,1704,497,18921,20200,1775,27625,False,175*sqrt(11698),175*sqrt(11698)/20625,11698,True,20625:497:1704,,20128/20625,568/6875,-5739/13750,-1,1,True,213/2516,1113/1184,7/24,71/2703,6875/568,True,True,True,False,True,THREE_DISTANCE_SEED
35,2145,920,2016,1225,129,2216,2359,929,False,1*sqrt(1517266),1*sqrt(1517266)/2145,1517266,True,2145:129:920,21,184/429,672/715,629/1430,-1,0,True,252/115,129/920,175/288,1225/129,715/672,True,True,True,False,True,THREE_DISTANCE_SEED
36,70448,69696,2145,752,68303,69729,2273,97585,False,1*sqrt(4665865313),1*sqrt(4665865313)/70448,4665865313,True,70448:752:2145,,4356/4403,2145/70448,-33079/70448,2,0,False,65/2112,68303/69696,752/2145,752/68303,70448/2145,True,True,True,False,True,THREE_DISTANCE_SEED
37,81795,16284,2560,65511,79235,16484,65561,80891,False,1*sqrt(10569876346),1*sqrt(10569876346)/81795,10569876346,True,81795:2560:16284,,5428/27265,512/16359,-15335/32718,0,-1,True,640/4071,3445/708,65511/2560,65511/79235,16359/512,True,True,True,False,True,THREE_DISTANCE_SEED
38,40365,37488,2740,2877,37625,37588,3973,53113,False,7*sqrt(29059546),7*sqrt(29059546)/40365,29059546,True,40365:2740:2877,,12496/13455,548/8073,-6977/16146,-2,-3,True,685/9372,37625/37488,21/20,411/5375,8073/548,True,True,True,False,True,THREE_DISTANCE_SEED
39,90168,85239,2920,4929,87248,85289,5729,121975,False,17*sqrt(26423905),17*sqrt(26423905)/90168,26423905,True,90168:2920:4929,,28413/30056,365/11271,-10541/22542,2,-1,True,2920/85239,304/297,4929/2920,4929/87248,11271/365,True,True,True,False,True,THREE_DISTANCE_SEED
40,7800,693,2924,7107,4876,3005,7685,4925,False,115*sqrt(5617),115*sqrt(5617)/7800,5617,True,7800:693:2924,14,231/2600,731/1950,-122/975,1,-1,True,2924/693,4876/693,7107/2924,309/212,1950/731,True,True,True,False,True,THREE_DISTANCE_SEED
41,6240,711,3080,5529,3160,3161,6329,3239,False,1*sqrt(40555441),1*sqrt(40555441)/6240,40555441,True,6240:711:3080,15,237/2080,77/156,-1/156,1,-1,True,3080/711,40/9,5529/3080,5529/3160,156/77,True,True,True,False,True,THREE_DISTANCE_SEED
42,11492,7524,3135,3968,8357,8151,5057,11245,False,13*sqrt(506417),13*sqrt(506417)/11492,506417,True,11492:3135:3968,,1881/2873,3135/11492,-2611/11492,2,0,False,5/12,8357/7524,3968/3135,3968/8357,11492/3135,True,True,True,False,True,THREE_DISTANCE_SEED
43,26180,24528,3285,1652,22895,24747,3677,33553,False,1*sqrt(526910129),1*sqrt(526910129)/26180,526910129,True,26180:1652:3285,,876/935,657/5236,-1961/5236,1,0,False,15/112,22895/24528,1652/3285,1652/22895,5236/657,True,True,True,False,True,THREE_DISTANCE_SEED
44,6015,5600,3432,415,2583,6568,3457,6167,False,1*sqrt(6844114),1*sqrt(6844114)/6015,6844114,True,6015:415:2583,,1120/1203,1144/2005,283/4010,-1,0,True,429/700,369/800,415/3432,415/2583,2005/1144,True,True,True,False,True,THREE_DISTANCE_SEED
45,11184,880,3465,10304,7719,3575,10871,7769,False,1*sqrt(165755377),1*sqrt(165755377)/11184,165755377,True,11184:880:3465,19,55/699,1155/3728,-709/3728,-1,0,True,63/16,7719/880,1472/495,10304/7719,3728/1155,True,True,True,False,True,THREE_DISTANCE_SEED
46,11484,9867,3640,1617,7844,10517,3983,12605,False,5*sqrt(2565721),5*sqrt(2565721)/11484,2565721,True,11484:1617:3640,,299/348,910/2871,-1051/5742,-1,-2,True,280/759,7844/9867,231/520,1617/7844,2871/910,True,True,True,False,True,THREE_DISTANCE_SEED
47,144989,111600,3660,33389,141329,111660,33589,180079,False,1*sqrt(21088711562),1*sqrt(21088711562)/144989,21088711562,True,144989:3660:33389,,111600/144989,3660/144989,-137669/289978,2,0,False,61/1860,4559/3600,33389/3660,33389/141329,144989/3660,True,True,True,False,True,THREE_DISTANCE_SEED
48,136764,1365,3680,135399,133084,3925,135449,133091,False,1*sqrt(36044240257),1*sqrt(36044240257)/136764,36044240257,True,136764:1365:3680,27,455/45588,920/34191,-32351/68382,-1,-2,True,736/273,19012/195,135399/3680,135399/133084,34191/920,True,True,True,False,True,THREE_DISTANCE_SEED
49,48741,47940,3920,801,44821,48100,4001,65629,False,1*sqrt(2009563642),1*sqrt(2009563642)/48741,2009563642,True,48741:801:3920,,15980/16247,560/6963,-5843/13926,0,-1,True,196/2397,44821/47940,801/3920,801/44821,6963/560,True,True,True,False,True,THREE_DISTANCE_SEED
50,44944,42228,4365,2716,40579,42453,5141,58565,False,371*sqrt(12017),371*sqrt(12017)/44944,12017,True,44944:2716:4365,,10557/11236,4365/44944,-18107/44944,3,0,False,485/4692,2387/2484,28/45,388/5797,44944/4365,True,True,True,False,True,THREE_DISTANCE_SEED
51,21125,17388,4416,3737,16709,17940,5785,24115,False,65*sqrt(69386),65*sqrt(69386)/21125,69386,True,21125:3737:4416,,17388/21125,4416/21125,-12293/42250,3,0,False,16/63,2387/2484,3737/4416,3737/16709,21125/4416,True,True,True,False,True,THREE_DISTANCE_SEED
52,23069,21420,4560,1649,18509,21900,4849,28309,False,1*sqrt(345302282),1*sqrt(345302282)/23069,345302282,True,23069:1649:4560,,1260/1357,4560/23069,-13949/46138,2,0,False,76/357,18509/21420,1649/4560,1649/18509,23069/4560,True,True,True,False,True,THREE_DISTANCE_SEED
53,347361,327168,4576,20193,342785,327200,20705,473857,False,1*sqrt(117909313474),1*sqrt(117909313474)/347361,117909313474,True,347361:4576:20193,,109056/115787,4576/347361,-338209/694722,1,-1,True,143/10224,342785/327168,20193/4576,20193/342785,347361/4576,True,True,True,False,True,THREE_DISTANCE_SEED
54,11997,11900,4704,97,7293,12796,4705,13957,False,1*sqrt(53197258),1*sqrt(53197258)/11997,53197258,True,11997:97:4704,,11900/11997,1568/3999,-863/7998,-2,-1,True,168/425,429/700,97/4704,97/7293,3999/1568,True,True,True,False,True,THREE_DISTANCE_SEED
55,20280,8772,4795,11508,15485,9997,12467,17797,False,13*sqrt(2202481),13*sqrt(2202481)/20280,2202481,True,20280:4795:8772,,731/1690,959/4056,-1069/4056,0,-1,True,4795/8772,15485/8772,12/5,11508/15485,4056/959,True,True,True,False,True,THREE_DISTANCE_SEED
56,12675,8288,4884,4387,7791,9620,6565,11375,False,65*sqrt(18922),65*sqrt(18922)/12675,18922,True,12675:4387:4884,,8288/12675,1628/4225,-969/8450,-1,1,True,33/56,1113/1184,4387/4884,4387/7791,4225/1628,True,True,True,False,True,THREE_DISTANCE_SEED
57,11352,6944,4935,4408,6417,8519,6617,9455,False,1*sqrt(60608353),1*sqrt(60608353)/11352,60608353,True,11352:4408:4935,,868/1419,1645/3784,-247/3784,-1,0,True,705/992,207/224,4408/4935,4408/6417,3784/1645,True,True,True,False,True,THREE_DISTANCE_SEED
58,30195,6080,4956,24115,25239,7844,24619,25961,False,1*sqrt(1218540346),1*sqrt(1218540346)/30195,1218540346,True,30195:4956:6080,,1216/6039,1652/10065,-6761/20130,-2,-1,True,1239/1520,25239/6080,3445/708,24115/25239,10065/1652,True,True,True,False,True,THREE_DISTANCE_SEED
59,14739,10780,5040,3959,9699,11900,6409,14501,False,17*sqrt(379738),17*sqrt(379738)/14739,379738,True,14739:3959:5040,,10780/14739,1680/4913,-1553/9826,-1,0,True,36/77,9699/10780,3959/5040,3959/9699,4913/1680,True,True,True,False,True,THREE_DISTANCE_SEED
60,21853,11220,5040,10633,16813,12300,11767,20213,False,41*sqrt(235418),41*sqrt(235418)/21853,235418,True,21853:5040:10633,,11220/21853,5040/21853,-11773/43706,1,0,False,84/187,989/660,1519/720,10633/16813,21853/5040,True,True,True,False,True,THREE_DISTANCE_SEED
61,369096,311236,5523,57860,363573,311285,58123,478595,False,13*sqrt(801971041),13*sqrt(801971041)/369096,801971041,True,369096:5523:57860,,77809/92274,263/17576,-8525/17576,-1,0,True,5523/311236,1827/1564,220/21,57860/363573,17576/263,True,True,True,False,True,THREE_DISTANCE_SEED
62,6015,3432,5600,2583,415,6568,6167,3457,False,1*sqrt(6844114),1*sqrt(6844114)/6015,6844114,True,6015:415:2583,44,1144/2005,1120/1203,1037/2406,0,-1,True,700/429,415/3432,369/800,2583/415,1203/1120,True,True,True,False,True,THREE_DISTANCE_SEED
63,9165,1540,5952,7625,3213,6148,9673,3563,False,1*sqrt(68463994),1*sqrt(68463994)/9165,68463994,True,9165:1540:3213,30,308/1833,1984/3055,913/6110,-1,0,True,1488/385,459/220,7625/5952,7625/3213,3055/1984,True,True,True,False,True,THREE_DISTANCE_SEED
64,30195,4956,6080,25239,24115,7844,25961,24619,False,1*sqrt(1218540346),1*sqrt(1218540346)/30195,1218540346,True,30195:4956:6080,58,1652/10065,1216/6039,-3607/12078,-1,-2,True,1520/1239,3445/708,25239/6080,25239/24115,6039/1216,True,True,True,False,True,THREE_DISTANCE_SEED
65,13156,1440,6837,11716,6319,6987,13565,6481,False,1*sqrt(177194417),1*sqrt(177194417)/13156,177194417,True,13156:1440:6319,28,360/3289,6837/13156,259/13156,2,0,False,2279/480,6319/1440,11716/6837,11716/6319,13156/6837,True,True,True,False,True,THREE_DISTANCE_SEED
66,49500,49383,6844,117,42656,49855,6845,65255,False,5*sqrt(72781921),5*sqrt(72781921)/49500,72781921,True,49500:117:6844,,5487/5500,1711/12375,-8953/24750,1,-2,True,116/837,1376/1593,117/6844,117/42656,12375/1711,True,True,True,False,True,THREE_DISTANCE_SEED
67,10879,1152,6864,9727,4015,6960,11905,4177,False,1*sqrt(110734754),1*sqrt(110734754)/10879,110734754,True,10879:1152:4015,24,1152/10879,624/989,259/1978,2,0,False,143/24,4015/1152,9727/6864,9727/4015,989/624,True,True,True,False,True,THREE_DISTANCE_SEED
68,11352,4935,6944,6417,4408,8519,9455,6617,False,1*sqrt(60608353),1*sqrt(60608353)/11352,60608353,True,11352:4408:4935,57,1645/3784,868/1419,317/2838,0,-1,True,992/705,4408/4935,207/224,6417/4408,1419/868,True,True,True,False,True,THREE_DISTANCE_SEED
69,9375,7896,7072,1479,2303,10600,7225,8225,False,25*sqrt(11986),25*sqrt(11986)/9375,11986,True,9375:1479:2303,,2632/3125,7072/9375,4769/18750,0,-1,True,884/987,7/24,87/416,1479/2303,9375/7072,True,True,True,False,True,THREE_DISTANCE_SEED
70,39988,19176,7245,20812,32743,20499,22037,37945,False,1*sqrt(1505243393),1*sqrt(1505243393)/39988,1505243393,True,39988:7245:19176,,4794/9997,7245/39988,-12749/39988,1,0,False,2415/6392,32743/19176,20812/7245,20812/32743,39988/7245,True,True,True,False,True,THREE_DISTANCE_SEED
71,11492,3135,7524,8357,3968,8151,11245,5057,False,13*sqrt(506417),13*sqrt(506417)/11492,506417,True,11492:3135:3968,42,3135/11492,1881/2873,889/5746,1,0,False,12/5,3968/3135,8357/7524,8357/3968,2873/1881,True,True,True,False,True,THREE_DISTANCE_SEED
72,21125,12768,7524,8357,13601,14820,11245,18655,False,65*sqrt(60314),65*sqrt(60314)/21125,60314,True,21125:7524:8357,,12768/21125,7524/21125,-6077/42250,1,0,False,33/56,1943/1824,8357/7524,8357/13601,21125/7524,True,True,True,False,True,THREE_DISTANCE_SEED
73,43700,35343,7524,8357,36176,36135,11245,50575,False,5*sqrt(55141697),5*sqrt(55141697)/43700,55141697,True,43700:7524:8357,,35343/43700,99/575,-377/1150,3,0,False,76/357,304/297,8357/7524,8357/36176,575/99,True,True,True,False,True,THREE_DISTANCE_SEED
74,242424,234552,7535,7872,234889,234673,10897,331945,False,41*sqrt(32858305),41*sqrt(32858305)/242424,32858305,True,242424:7535:7872,,9773/10101,7535/242424,-113677/242424,-1,-2,True,7535/234552,697/696,7872/7535,192/5729,242424/7535,True,True,True,False,True,THREE_DISTANCE_SEED
75,9375,7072,7896,2303,1479,10600,8225,7225,False,25*sqrt(11986),25*sqrt(11986)/9375,11986,True,9375:1479:2303,69,7072/9375,2632/3125,2139/6250,-1,1,True,987/884,87/416,7/24,2303/1479,3125/2632,True,True,True,False,True,THREE_DISTANCE_SEED
76,31955,21840,7956,10115,23999,23244,12869,32449,False,1*sqrt(678265226),1*sqrt(678265226)/31955,678265226,True,31955:7956:10115,,624/913,7956/31955,-16043/63910,1,0,False,51/140,23999/21840,595/468,10115/23999,31955/7956,True,True,True,False,True,THREE_DISTANCE_SEED
77,21320,11025,7992,10295,13328,13617,13033,17297,False,1*sqrt(283622609),1*sqrt(283622609)/21320,283622609,True,21320:7992:10295,,2205/4264,999/2665,-667/5330,2,0,False,888/1225,272/225,10295/7992,10295/13328,2665/999,True,True,True,False,True,THREE_DISTANCE_SEED
78,20988,8619,8008,12369,12980,11765,14735,15581,False,1*sqrt(321472561),1*sqrt(321472561)/20988,321472561,True,20988:8008:8619,,2873/6996,182/477,-113/954,-1,-2,True,616/663,12980/8619,1767/1144,12369/12980,477/182,True,True,True,False,True,THREE_DISTANCE_SEED
79,14355,1440,8036,12915,6319,8164,15211,6481,False,1*sqrt(206726986),1*sqrt(206726986)/14355,206726986,True,14355:1440:6319,29,32/319,8036/14355,1717/28710,0,-2,True,2009/360,6319/1440,45/28,12915/6319,14355/8036,True,True,True,False,True,THREE_DISTANCE_SEED
80,628815,520168,8160,108647,620655,520232,108953,809807,False,7*sqrt(8102383666),7*sqrt(8102383666)/628815,8102383666,True,628815:8160:108647,,47288/57165,544/41921,-40833/83842,-1,2,True,1020/65021,105/88,6391/480,15521/88665,41921/544,True,True,True,False,True,THREE_DISTANCE_SEED
81,12675,4884,8288,7791,4387,9620,11375,6565,False,65*sqrt(18922),65*sqrt(18922)/12675,18922,True,12675:4387:4884,56,1628/4225,8288/12675,3901/25350,0,-1,True,56/33,4387/4884,1113/1184,7791/4387,12675/8288,True,True,True,False,True,THREE_DISTANCE_SEED
82,20988,8008,8619,12980,12369,11765,15581,14735,False,1*sqrt(321472561),1*sqrt(321472561)/20988,321472561,True,20988:8008:8619,78,182/477,2873/6996,-625/6996,-2,-1,True,663/616,1767/1144,12980/8619,12980/12369,6996/2873,True,True,True,False,True,THREE_DISTANCE_SEED
83,192660,163009,8700,29651,183960,163241,30901,245791,False,13*sqrt(205446529),13*sqrt(205446529)/192660,205446529,True,192660:8700:29651,,163009/192660,145/3211,-2921/6422,-1,0,True,300/5621,360/319,29651/8700,29651/183960,3211/145,True,True,True,False,True,THREE_DISTANCE_SEED
84,20280,4795,8772,15485,11508,9997,17797,12467,False,13*sqrt(2202481),13*sqrt(2202481)/20280,2202481,True,20280:4795:8772,55,959/4056,731/1690,-57/845,-1,1,True,8772/4795,12/5,15485/8772,15485/11508,1690/731,True,True,True,False,True,THREE_DISTANCE_SEED
85,26588,16605,8856,9983,17732,18819,13345,24293,False,17*sqrt(1432817),17*sqrt(1432817)/26588,1432817,True,26588:8856:9983,,16605/26588,2214/6647,-2219/13294,4,0,False,8/15,17732/16605,9983/8856,9983/17732,6647/2214,True,True,True,False,True,THREE_DISTANCE_SEED
86,28168,24288,9009,3880,19159,25905,9809,30935,False,1*sqrt(382121681),1*sqrt(382121681)/28168,382121681,True,28168:3880:9009,,3036/3521,1287/4024,-725/4024,1,0,False,273/736,833/1056,3880/9009,3880/19159,4024/1287,True,True,True,False,True,THREE_DISTANCE_SEED
87,196040,192708,9315,3332,186725,192933,9893,268333,False,91*sqrt(4211729),91*sqrt(4211729)/196040,4211729,True,196040:3332:9315,,48177/49010,1863/39208,-17741/39208,2,0,False,1035/21412,186725/192708,3332/9315,476/26675,39208/1863,True,True,True,False,True,THREE_DISTANCE_SEED
88,12675,784,9588,11891,3087,9620,15275,3185,False,65*sqrt(35722),65*sqrt(35722)/12675,35722,True,12675:784:3087,18,784/12675,3196/4225,2167/8450,-1,0,True,2397/196,63/16,253/204,11891/3087,4225/3196,True,True,True,False,True,THREE_DISTANCE_SEED
89,437320,362748,9675,74572,427645,362877,75197,560773,False,29*sqrt(224068049),29*sqrt(224068049)/437320,224068049,True,437320:9675:74572,,90687/109330,1935/87464,-41797/87464,1,0,False,75/2812,427645/362748,74572/9675,74572/427645,87464/1935,True,True,True,False,True,THREE_DISTANCE_SEED
90,167475,60116,9840,107359,157635,60916,107809,168709,False,1*sqrt(36374748106),1*sqrt(36374748106)/167475,36374748106,True,167475:9840:60116,,8588/23925,656/11165,-9853/22330,-1,0,True,2460/15029,1395/532,107359/9840,107359/157635,11165/656,True,True,True,False,True,THREE_DISTANCE_SEED
91,11484,3640,9867,7844,1617,10517,12605,3983,False,5*sqrt(2565721),5*sqrt(2565721)/11484,2565721,True,11484:1617:3640,46,910/2871,299/348,125/348,-2,-1,True,759/280,231/520,7844/9867,7844/1617,348/299,True,True,True,False,True,THREE_DISTANCE_SEED
92,34500,26796,10153,7704,24347,28655,12745,36205,False,5*sqrt(26085121),5*sqrt(26085121)/34500,26085121,True,34500:7704:10153,,2233/2875,10153/34500,-7097/34500,0,-1,True,923/2436,24347/26796,7704/10153,7704/24347,34500/10153,True,True,True,False,True,THREE_DISTANCE_SEED
93,14739,5040,10780,9699,3959,11900,14501,6409,False,17*sqrt(379738),17*sqrt(379738)/14739,379738,True,14739:3959:5040,59,1680/4913,10780/14739,6821/29478,1,-1,True,77/36,3959/5040,9699/10780,9699/3959,14739/10780,True,True,True,False,True,THREE_DISTANCE_SEED
94,468716,202653,10920,266063,457796,202947,266287,500645,False,1*sqrt(280366697585),1*sqrt(280366697585)/468716,280366697585,True,468716:10920:202653,,202653/468716,2730/117179,-111719/234358,2,0,False,3640/67551,457796/202653,38009/1560,266063/457796,117179/2730,True,True,True,False,True,THREE_DISTANCE_SEED
95,624264,611475,10948,12789,613316,611573,16835,866059,False,37*sqrt(274886833),37*sqrt(274886833)/624264,274886833,True,624264:10948:12789,,203825/208088,2737/156066,-37648/78033,0,-1,True,10948/611475,2332/2325,1827/1564,12789/613316,156066/2737,True,True,True,False,True,THREE_DISTANCE_SEED
96,21320,7992,11025,13328,10295,13617,17297,13033,False,1*sqrt(283622609),1*sqrt(283622609)/21320,283622609,True,21320:7992:10295,77,999/2665,2205/4264,73/4264,3,0,False,1225/888,10295/7992,272/225,13328/10295,4264/2205,True,True,True,False,True,THREE_DISTANCE_SEED
97,21853,5040,11220,16813,10633,12300,20213,11767,False,41*sqrt(235418),41*sqrt(235418)/21853,235418,True,21853:5040:10633,60,5040/21853,11220/21853,587/43706,2,0,False,187/84,1519/720,989/660,16813/10633,21853/11220,True,True,True,False,True,THREE_DISTANCE_SEED
