delta,u,source,main_fiber,A,B,C,D,defect_B,defect_C,defect_D,score,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,point_in_unit,four_distance_ok,true_solution,height,distance_to_u730,notes
65/49,5/7,B_sample,all,35/12,20/21,241/245,241/80,1,118106,64481,7615592986,84/325,49/65,325,84,245,241,80,1,1,False,True,False,False,245,4/35,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
65/49,-7/5,B_sample,all,35/12,20/21,241/245,241/80,1,118106,64481,7615592986,84/325,49/65,325,84,245,241,80,1,1,False,True,False,False,245,2,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
4225/1029,9/7,B_sample,all,-63/16,-2397/196,13459/3087,13459/9588,1,45130,64633,2916887290,-784/12675,1029/4225,12675,-784,3087,13459,9588,-1,0,True,False,False,False,13459,24/35,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
4225/1029,-7/9,B_sample,all,-63/16,-2397/196,13459/3087,13459/9588,1,45130,64633,2916887290,-784/12675,1029/4225,12675,-784,3087,13459,9588,-1,0,True,False,False,False,13459,62/45,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
13/6,-5/9,B_sample,all,-45/28,-15/8,251/90,251/105,1,71101,74026,5263322626,-56/195,6/13,195,-56,90,251,105,-1,0,True,False,False,False,251,52/45,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
13/6,9/5,B_sample,all,-45/28,-15/8,251/90,251/105,1,71101,74026,5263322626,-56/195,6/13,195,-56,90,251,105,-1,0,True,False,False,False,251,6/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/11,-5/11,B_sample,all,-55/48,-35/12,243/55,243/140,1,62074,78649,4882058026,-16/65,11/39,195,-48,55,243,140,0,-1,True,False,False,False,243,58/55,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/11,11/5,B_sample,all,-55/48,-35/12,243/55,243/140,1,62074,78649,4882058026,-16/65,11/39,195,-48,55,243,140,0,-1,True,False,False,False,243,8/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/29,3/5,known,all,15/8,975/58,4103/435,4103/3900,3301,58906,110881,21560666969986,232/4335,29/289,4335,232,435,4103,3900,-1,1,True,True,False,False,4103,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
65/49,-3/7,B_sample,all,-21/20,-12/35,335/147,335/48,1,133834,114529,15327874186,-28/39,49/65,195,-140,147,335,48,-1,1,True,False,False,False,335,36/35,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
65/49,7/3,B_sample,all,-21/20,-12/35,335/147,335/48,1,133834,114529,15327874186,-28/39,49/65,195,-140,147,335,48,-1,1,True,False,False,False,335,26/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
12675/11891,-11/23,B_sample,all,-253/204,-196/2397,22263/11891,22263/784,1,150778,117457,17709931546,-3196/4225,11891/12675,12675,-9588,11891,22263,784,0,-1,True,False,False,False,22263,124/115,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
12675/11891,23/11,B_sample,all,-253/204,-196/2397,22263/11891,22263/784,1,150778,117457,17709931546,-3196/4225,11891/12675,12675,-9588,11891,22263,784,0,-1,True,False,False,False,22263,82/55,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
65/16,2/5,B_sample,all,20/21,35/12,241/80,241/245,1,64481,118106,7615592986,84/325,16/65,325,84,80,241,245,1,1,False,True,False,False,245,1/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
