delta,u,source,main_fiber,A,B,C,D,defect_B,defect_C,defect_D,score,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,point_in_unit,four_distance_ok,true_solution,height,distance_to_u730,notes
65/49,-7/15,D_sample,all,-105/88,-30/77,1591/735,1591/240,6829,3071506,1,20975314474,-616/975,49/65,975,-616,735,1591,240,-1,1,True,False,False,False,1591,16/15,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
65/49,15/7,D_sample,all,-105/88,-30/77,1591/735,1591/240,6829,3071506,1,20975314474,-616/975,49/65,975,-616,735,1591,240,-1,1,True,False,False,False,1591,54/35,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
65/49,11/21,D_sample,all,231/160,33/70,1025/1617,1025/528,5989,3665314,1,21951565546,224/429,49/65,2145,1120,1617,1025,528,-1,1,True,True,False,False,1617,8/105,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
65/49,-21/11,D_sample,all,231/160,33/70,1025/1617,1025/528,5989,3665314,1,21951565546,224/429,49/65,2145,1120,1617,1025,528,-1,1,True,True,False,False,1617,138/55,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/28,10/13,D_sample,all,260/69,715/483,513/455,2052/715,744514,470194,1,350066015716,161/845,28/39,2535,483,1820,2052,715,0,-1,True,True,False,False,2052,11/65,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/28,-13/10,D_sample,all,260/69,715/483,513/455,2052/715,744514,470194,1,350066015716,161/845,28/39,2535,483,1820,2052,715,0,-1,True,True,False,False,2052,19/10,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
249/119,4/7,D_sample,all,56/33,1040/561,1431/952,1431/1040,1396321,2954065,1,4124822994865,187/664,119/249,1992,561,952,1431,1040,0,-1,True,True,False,False,1431,1/35,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
249/119,-7/4,D_sample,all,56/33,1040/561,1431/952,1431/1040,1396321,2954065,1,4124822994865,187/664,119/249,1992,561,952,1431,1040,0,-1,True,True,False,False,1431,47/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
332/255,10/9,D_sample,all,-180/19,-924/323,4307/3060,4307/924,958105,27913849,1,26744398296145,-323/3984,255/332,3984,-323,3060,4307,924,-1,0,True,False,False,False,4307,23/45,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
332/255,-9/10,D_sample,all,-180/19,-924/323,4307/3060,4307/924,958105,27913849,1,26744398296145,-323/3984,255/332,3984,-323,3060,4307,924,-1,0,True,False,False,False,4307,3/2,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/11,22/17,D_sample,all,-748/195,-1904/195,2847/748,2847/1904,3663241,8664913,1,31741664563033,-5/68,11/39,2652,-195,748,2847,1904,0,-1,True,False,False,False,2847,59/85,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/11,-17/22,D_sample,all,-748/195,-1904/195,2847/748,2847/1904,3663241,8664913,1,31741664563033,-5/68,11/39,2652,-195,748,2847,1904,0,-1,True,False,False,False,2847,151/110,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
4225/1029,-3/28,D_sample,all,-168/775,-25568/37975,23925/2744,71775/25568,12401321,3431569,1,42555988702649,-1519/1352,1029/4225,33800,-37975,8232,71775,25568,0,0,False,False,False,False,71775,99/140,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
4225/1029,28/3,D_sample,all,-168/775,-25568/37975,23925/2744,71775/25568,12401321,3431569,1,42555988702649,-1519/1352,1029/4225,33800,-37975,8232,71775,25568,0,0,False,False,False,False,71775,131/15,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/28,-561/112,D_experimental_secant,all,125664/302177,49368/302177,-127145/125664,-127145/49368,93748138753,31957291921,1,2995936637180033914513,302177/175032,28/39,175032,302177,125664,-127145,49368,-2,-1,True,False,False,False,302177,3141/560,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
13/6,1/4,known,all,8/15,28/45,7/24,1/4,1,1,17,17,45/52,6/13,52,45,24,7,28,2,0,False,True,False,False,45,7/20,near_miss:(1-x)^2+(1-y)^2
13/6,-4,B_sample,all,8/15,28/45,7/24,1/4,1,1,17,17,45/52,6/13,52,45,24,7,28,2,0,False,True,False,False,45,23/5,near_miss:(1-x)^2+(1-y)^2
13/6,-1/2,C_sample,all,-4/3,-14/9,35/12,5/2,277,1,29,8033,-9/26,6/13,26,-9,12,35,14,2,0,False,False,False,False,35,11/10,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
13/6,2,C_sample,all,-4/3,-14/9,35/12,5/2,277,1,29,8033,-9/26,6/13,26,-9,12,35,14,2,0,False,False,False,False,35,7/5,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
13/6,3/5,known,all,15/8,35/16,49/30,7/5,1481,3301,74,361769794,16/65,6/13,65,16,30,49,35,0,0,False,True,False,False,49,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
65/16,1/4,known,all,8/15,49/30,35/16,5/7,3301,1481,74,361769794,6/13,16/65,65,30,16,35,49,1,1,False,True,False,False,49,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
13/6,2/15,C_sample,all,60/221,70/221,-91/60,-13/10,53741,1,269,14456329,17/10,6/13,130,221,60,-91,70,0,0,False,False,False,False,221,7/15,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
13/6,-15/2,C_sample,all,60/221,70/221,-91/60,-13/10,53741,1,269,14456329,17/10,6/13,130,221,60,-91,70,0,0,False,False,False,False,221,81/10,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
13/6,1/6,C_sample,all,12/35,2/5,-3/4,-9/14,29,1,277,8033,35/26,6/13,26,35,12,-9,14,0,0,False,False,False,False,35,13/30,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
13/6,-6,C_sample,all,12/35,2/5,-3/4,-9/14,29,1,277,8033,35/26,6/13,26,35,12,-9,14,0,0,False,False,False,False,35,33/5,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
289/260,1/4,known,all,8/15,58/975,-397/520,-397/58,3301,1481,557,2723051017,975/578,260/289,578,975,520,-397,58,1,1,False,False,False,False,975,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
289/260,3/5,known,all,15/8,87/416,451/780,451/87,1,1,730,730,416/867,260/289,867,416,780,451,87,-1,1,True,True,False,False,780,0,near_miss:(1-x)^2+(1-y)^2
867/416,1/4,known,all,8/15,451/780,87/416,87/451,1,1,730,730,260/289,416/867,867,780,416,87,451,0,-1,True,True,False,False,780,7/20,near_miss:(1-x)^2+(1-y)^2
289/260,-5/3,B_sample,all,15/8,87/416,451/780,451/87,1,1,730,730,416/867,260/289,867,416,780,451,87,-1,1,True,True,False,False,780,34/15,near_miss:(1-x)^2+(1-y)^2
867/416,-4,B_sample,all,8/15,451/780,87/416,87/451,1,1,730,730,260/289,416/867,867,780,416,87,451,0,-1,True,True,False,False,780,23/5,near_miss:(1-x)^2+(1-y)^2
332/255,3/5,known,all,15/8,77/136,196/255,28/11,977,103441,905,91460980585,34/83,255/332,332,136,255,196,77,0,0,False,True,False,False,255,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
39/28,1/4,known,all,8/15,22/105,-27/56,-27/22,11509,3865,1213,53957011705,35/26,28/39,78,105,56,-27,22,0,-1,True,False,False,False,105,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
39/11,1/4,known,all,8/15,224/165,147/88,21/32,77401,29353,1465,3328409025145,55/104,11/39,312,165,88,147,224,0,-1,True,True,False,False,224,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
867/451,1/4,known,all,8/15,3328/6765,171/3608,171/3328,196681,45145,1537,13647274676065,2255/2312,451/867,6936,6765,3608,171,3328,0,-1,True,True,False,False,6765,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
249/130,1/4,known,all,8/15,476/975,21/520,3/68,1177201,270841,4633,1477159293557953,325/332,130/249,996,975,520,21,476,0,-1,True,True,False,False,975,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
332/255,9/17,B_sample,all,153/104,231/520,28/45,68/33,1,1,5713,5713,130/249,255/332,996,520,765,476,231,-1,0,True,True,False,False,520,6/85,near_miss:(1-x)^2+(1-y)^2
249/130,4/13,B_sample,all,104/153,28/45,231/520,33/68,1,1,5713,5713,255/332,130/249,996,765,520,231,476,1,-1,True,True,False,False,520,19/65,near_miss:(1-x)^2+(1-y)^2
332/255,-17/9,B_sample,all,153/104,231/520,28/45,68/33,1,1,5713,5713,130/249,255/332,996,520,765,476,231,-1,0,True,True,False,False,520,112/45,near_miss:(1-x)^2+(1-y)^2
249/130,-13/4,B_sample,all,104/153,28/45,231/520,33/68,1,1,5713,5713,255/332,130/249,996,765,520,231,476,1,-1,True,True,False,False,520,77/20,near_miss:(1-x)^2+(1-y)^2
289/260,5/3,B_sample,all,-15/8,-87/416,1283/780,1283/87,1,7801,5722,44637322,-416/867,260/289,867,-416,780,1283,87,-1,1,True,False,False,False,1283,16/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/260,-3/5,B_sample,all,-15/8,-87/416,1283/780,1283/87,1,7801,5722,44637322,-416/867,260/289,867,-416,780,1283,87,-1,1,True,False,False,False,1283,6/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/29,-3/29,B_sample,all,-87/416,-15/8,1283/87,1283/780,1,5722,7801,44637322,-416/867,29/289,867,-416,87,1283,780,-1,1,True,False,False,False,1283,102/145,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/29,29/3,B_sample,all,-87/416,-15/8,1283/87,1283/780,1,5722,7801,44637322,-416/867,29/289,867,-416,87,1283,780,-1,1,True,False,False,False,1283,136/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/130,3/5,known,all,15/8,357/208,539/390,77/51,170713,442621,8530,644536684333690,208/747,130/249,747,208,390,539,357,-2,-1,True,True,False,False,539,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
39/11,3/5,known,all,15/8,105/22,497/165,71/60,11509,274234,8641,27272370834946,88/585,11/39,585,88,165,497,420,-2,-1,True,True,False,False,497,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
867/416,-1/4,B_sample,all,-8/15,-451/780,1647/416,1647/451,1,9985,10090,100748650,-260/289,416/867,867,-780,416,1647,451,0,-1,True,False,False,False,1647,17/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
867/416,4,B_sample,all,-8/15,-451/780,1647/416,1647/451,1,9985,10090,100748650,-260/289,416/867,867,-780,416,1647,451,0,-1,True,False,False,False,1647,17/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
13/6,-1/4,B_sample,all,-8/15,-28/45,97/24,97/28,1,9985,10193,101777105,-45/52,6/13,52,-45,24,97,28,2,0,False,False,False,False,97,17/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
13/6,4,B_sample,all,-8/15,-28/45,97/24,97/28,1,9985,10193,101777105,-45/52,6/13,52,-45,24,97,28,2,0,False,False,False,False,97,17/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/130,5/9,B_sample,all,45/28,153/104,1513/1170,89/63,1,3658069,11890,43494440410,728/2241,130/249,2241,728,1170,1513,1071,-3,-1,True,True,False,False,1513,2/45,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/130,-9/5,B_sample,all,45/28,153/104,1513/1170,89/63,1,3658069,11890,43494440410,728/2241,130/249,2241,728,1170,1513,1071,-3,-1,True,True,False,False,1513,12/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/260,13/16,B_sample,all,416/87,8/15,1877/2080,1877/232,1,27161,12377,336171697,435/2312,260/289,2312,435,2080,1877,232,1,1,False,True,False,False,2080,17/80,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/260,-16/13,B_sample,all,416/87,8/15,1877/2080,1877/232,1,27161,12377,336171697,435/2312,260/289,2312,435,2080,1877,232,1,1,False,True,False,False,2080,119/65,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/28,3/8,B_sample,all,48/55,12/35,83/336,83/132,1,119785,24313,2912332705,385/468,28/39,468,385,336,83,132,-2,-1,True,True,False,False,336,9/40,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/28,-8/3,B_sample,all,48/55,12/35,83/336,83/132,1,119785,24313,2912332705,385/468,28/39,468,385,336,83,132,-2,-1,True,True,False,False,336,49/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/28,5/7,B_sample,all,35/12,55/48,21/20,147/55,1,1,24634,24634,16/65,28/39,195,48,140,147,55,0,-1,True,True,False,False,147,4/35,near_miss:(1-x)^2+(1-y)^2
65/16,1/6,B_sample,all,12/35,21/20,55/48,55/147,1,1,24634,24634,28/39,16/65,195,140,48,55,147,-1,1,True,True,False,False,147,13/30,near_miss:(1-x)^2+(1-y)^2
39/28,-7/5,B_sample,all,35/12,55/48,21/20,147/55,1,1,24634,24634,16/65,28/39,195,48,140,147,55,0,-1,True,True,False,False,147,2,near_miss:(1-x)^2+(1-y)^2
65/16,-6,B_sample,all,12/35,21/20,55/48,55/147,1,1,24634,24634,28/39,16/65,195,140,48,55,147,-1,1,True,True,False,False,147,33/5,near_miss:(1-x)^2+(1-y)^2
65/16,3/5,known,all,15/8,735/128,847/240,121/105,556609,775009,25666,11071721683689346,128/975,16/65,975,128,240,847,735,-1,1,True,True,False,False,847,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
289/260,16/13,B_sample,all,-416/87,-8/15,2747/2080,2747/232,1,41081,26297,1080307057,-435/2312,260/289,2312,-435,2080,2747,232,1,1,False,False,False,False,2747,41/65,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/260,-13/16,B_sample,all,-416/87,-8/15,2747/2080,2747/232,1,41081,26297,1080307057,-435/2312,260/289,2312,-435,2080,2747,232,1,1,False,False,False,False,2747,113/80,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/29,1/4,known,all,8/15,416/87,1877/232,1877/2080,1,12377,27161,336171697,435/2312,29/289,2312,435,232,1877,2080,1,1,False,True,False,False,2080,7/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/29,-4,B_sample,all,8/15,416/87,1877/232,1877/2080,1,12377,27161,336171697,435/2312,29/289,2312,435,232,1877,2080,1,1,False,True,False,False,2080,23/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
13/6,5/9,B_sample,all,45/28,15/8,139/90,139/105,1,27421,30346,832117666,56/195,6/13,195,56,90,139,105,-1,0,True,True,False,False,139,2/45,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
13/6,-9/5,B_sample,all,45/28,15/8,139/90,139/105,1,27421,30346,832117666,56/195,6/13,195,56,90,139,105,-1,0,True,True,False,False,139,12/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/255,1/4,known,all,8/15,616/3825,-1169/2040,-167/88,15010081,5528161,35633,2956760219085963953,3825/2656,255/332,2656,3825,2040,-1169,616,2,0,False,False,False,False,3825,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
289/29,-1/4,B_sample,all,-8/15,-416/87,2747/232,2747/2080,1,26297,41081,1080307057,-435/2312,29/289,2312,-435,232,2747,2080,1,1,False,False,False,False,2747,17/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
289/29,4,B_sample,all,-8/15,-416/87,2747/232,2747/2080,1,26297,41081,1080307057,-435/2312,29/289,2312,-435,232,2747,2080,1,1,False,False,False,False,2747,17/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
4225/3196,-1/8,B_sample,all,-16/63,-196/2397,67237/12784,67237/4116,1,1108697,42961,47630731817,-50337/16900,3196/4225,16900,-50337,12784,67237,4116,2,0,False,False,False,False,67237,29/40,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
4225/3196,8,B_sample,all,-16/63,-196/2397,67237/12784,67237/4116,1,1108697,42961,47630731817,-50337/16900,3196/4225,16900,-50337,12784,67237,4116,2,0,False,False,False,False,67237,37/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
13/6,-3/10,C_sample,all,-60/91,-10/13,221/60,221/70,269,1,53741,14456329,-7/10,6/13,130,-91,60,221,70,0,0,False,False,False,False,221,9/10,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
13/6,10/3,C_sample,all,-60/91,-10/13,221/60,221/70,269,1,53741,14456329,-7/10,6/13,130,-91,60,221,70,0,0,False,False,False,False,221,41/15,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
39/28,7/5,B_sample,all,-35/12,-55/48,243/140,243/55,1,78649,62074,4882058026,-16/65,28/39,195,-48,140,243,55,0,-1,True,False,False,False,243,4/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/28,-5/7,B_sample,all,-35/12,-55/48,243/140,243/55,1,78649,62074,4882058026,-16/65,28/39,195,-48,140,243,55,0,-1,True,False,False,False,243,46/35,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,6/17,B_sample,all,204/253,31584/7337,30163/5916,4309/4512,1,1511689,62281,94149502609,7337/37500,493/3125,37500,7337,5916,30163,31584,-1,1,True,True,False,False,31584,21/85,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,-17/6,B_sample,all,204/253,31584/7337,30163/5916,4309/4512,1,1511689,62281,94149502609,7337/37500,493/3125,37500,7337,5916,30163,31584,-1,1,True,True,False,False,31584,103/30,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
65/49,1/4,known,all,8/15,128/735,-215/392,-215/128,556609,199889,62609,6965878366850209,147/104,49/65,520,735,392,-215,128,1,1,False,False,False,False,735,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
