A,D,B,C,reciprocal_fake,degenerate_infinity,nondegenerate,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,notes
-644/333,-333/644,644/333,333/644,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-952/495,-495/952,952/495,495/952,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-15/8,-8/15,15/8,8/15,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-864/473,-473/864,864/473,473/864,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-572/315,-315/572,572/315,315/572,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-897/496,-496/897,897/496,496/897,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-340/189,-189/340,340/189,189/340,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-493/276,-276/493,493/276,276/493,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-168/95,-95/168,168/95,95/168,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-209/120,-120/209,209/120,120/209,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-780/451,-451/780,780/451,451/780,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-627/364,-364/627,627/364,364/627,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-56/33,-33/56,56/33,33/56,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-777/464,-464/777,777/464,464/777,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-299/180,-180/299,299/180,180/299,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-288/175,-175/288,288/175,175/288,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-943/576,-576/943,943/576,576/943,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-700/429,-429/700,700/429,429/700,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-45/28,-28/45,45/28,28/45,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-928/585,-585/928,928/585,585/928,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-440/279,-279/440,440/279,279/440,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-527/336,-336/527,527/336,336/527,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-132/85,-85/132,132/85,85/132,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-665/432,-432/665,665/432,432/665,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-624/407,-407/624,624/407,407/624,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-91/60,-60/91,91/60,60/91,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-840/559,-559/840,840/559,559/840,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-989/660,-660/989,989/660,660/989,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-240/161,-161/240,240/161,161/240,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-153/104,-104/153,153/104,104/153,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
