category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
one_sided,403/396,15/112,-196/9603,-105/39091,1,119674,119674,True,False,True,False,12804/12769,39091/38307,38307,38412,39091,-105,-784,1,-1,True,True,False,False,39091,49207/9744,679/792,algebraic_but_failed:(1-x)^2+y^2
one_sided,-13/84,304/297,-9603/196,29488/91,1,120353,120353,True,False,True,False,-147/7225,91/28900,28900,-588,91,29488,28809,1,0,False,True,False,False,29488,35833/8613,341/168,algebraic_but_failed:(1-x)^2+y^2
one_sided,304/297,-13/84,-196/9603,91/29488,1,120353,120353,True,False,True,False,28809/28900,7372/7225,28900,28809,29488,91,-588,3,0,False,True,False,False,29488,4335/812,2023/2376,algebraic_but_failed:(1-x)^2+y^2
one_sided,-621/100,-943/576,14832/5425,4223/5859,1,180490,180490,True,False,True,False,-21700/75429,14973/8381,75429,-21700,134757,97129,-59328,-2,0,True,True,False,False,14832,113939/16704,1617/200,algebraic_but_failed:(1-x)^2+y^2
one_sided,-943/576,-621/100,5425/14832,5859/4223,1,180490,180490,True,False,True,False,-6592/8381,97129/75429,75429,-59328,97129,134757,-21700,0,-2,True,True,False,False,14832,99127/8700,2023/576,algebraic_but_failed:(1-x)^2+y^2
one_sided,17/144,435/308,-77/36,-435/17,1,189514,189514,True,False,True,False,-48/97,-17/291,291,-144,-17,435,308,1,-1,True,True,False,False,435,101063/26796,253/144,algebraic_but_failed:(1-x)^2+y^2
one_sided,435/308,17/144,-36/77,-17/435,1,189514,189514,True,False,True,False,308/291,145/97,291,308,435,-17,-144,-1,0,True,True,False,False,435,21155/4176,285/616,algebraic_but_failed:(1-x)^2+y^2
one_sided,-429/460,17/144,252/115,-119/429,1,198202,198202,True,False,True,False,460/579,-143/193,579,460,-429,119,1008,-1,0,True,True,False,False,460,21155/4176,2583/920,algebraic_but_failed:(1-x)^2+y^2
one_sided,17/144,-429/460,115/252,-429/119,1,198202,198202,True,False,True,False,336/193,119/579,579,1008,119,-429,460,1,-1,True,True,False,False,460,244783/40020,253/144,algebraic_but_failed:(1-x)^2+y^2
one_sided,-5/12,352/135,-765/868,5984/1085,1,218849,218849,True,False,True,False,-651/845,217/676,3380,-2604,1085,5984,2295,1,0,False,True,False,False,5984,10087/3915,55/24,algebraic_but_failed:(1-x)^2+y^2
