row_id,N,p,q,r,s,h_pq,h_rq,h_ps,h_rs_square,h_rs_or_sqrt_factor,fourth_norm,defect,primitive,canonical_key,duplicate_of,x,y,yc,v3_x,v3_yc,mcc_live,A,B,C,D,delta,A_in_S,B_in_S,C_in_S,D_in_S,love_relation_ok,notes
40,11492,7524,3135,3968,8357,8151,5057,11245,False,13*sqrt(506417),13*sqrt(506417)/11492,506417,True,11492:3135:3968,,1881/2873,3135/11492,-2611/11492,2,0,False,5/12,8357/7524,3968/3135,3968/8357,11492/3135,True,True,True,False,True,THREE_DISTANCE_SEED
41,26180,24528,3285,1652,22895,24747,3677,33553,False,1*sqrt(526910129),1*sqrt(526910129)/26180,526910129,True,26180:1652:3285,,876/935,657/5236,-1961/5236,1,0,False,15/112,22895/24528,1652/3285,1652/22895,5236/657,True,True,True,False,True,THREE_DISTANCE_SEED
42,6015,5600,3432,415,2583,6568,3457,6167,False,1*sqrt(6844114),1*sqrt(6844114)/6015,6844114,True,6015:415:2583,,1120/1203,1144/2005,283/4010,-1,0,True,429/700,369/800,415/3432,415/2583,2005/1144,True,True,True,False,True,THREE_DISTANCE_SEED
43,11184,880,3465,10304,7719,3575,10871,7769,False,1*sqrt(165755377),1*sqrt(165755377)/11184,165755377,True,11184:880:3465,19,55/699,1155/3728,-709/3728,-1,0,True,63/16,7719/880,1472/495,10304/7719,3728/1155,True,True,True,False,True,THREE_DISTANCE_SEED
44,11484,9867,3640,1617,7844,10517,3983,12605,False,5*sqrt(2565721),5*sqrt(2565721)/11484,2565721,True,11484:1617:3640,,299/348,910/2871,-1051/5742,-1,-2,True,280/759,7844/9867,231/520,1617/7844,2871/910,True,True,True,False,True,THREE_DISTANCE_SEED
45,48741,47940,3920,801,44821,48100,4001,65629,False,1*sqrt(2009563642),1*sqrt(2009563642)/48741,2009563642,True,48741:801:3920,,15980/16247,560/6963,-5843/13926,0,-1,True,196/2397,44821/47940,801/3920,801/44821,6963/560,True,True,True,False,True,THREE_DISTANCE_SEED
46,44944,42228,4365,2716,40579,42453,5141,58565,False,371*sqrt(12017),371*sqrt(12017)/44944,12017,True,44944:2716:4365,,10557/11236,4365/44944,-18107/44944,3,0,False,485/4692,2387/2484,28/45,388/5797,44944/4365,True,True,True,False,True,THREE_DISTANCE_SEED
47,21125,17388,4416,3737,16709,17940,5785,24115,False,65*sqrt(69386),65*sqrt(69386)/21125,69386,True,21125:3737:4416,,17388/21125,4416/21125,-12293/42250,3,0,False,16/63,2387/2484,3737/4416,3737/16709,21125/4416,True,True,True,False,True,THREE_DISTANCE_SEED
48,23069,21420,4560,1649,18509,21900,4849,28309,False,1*sqrt(345302282),1*sqrt(345302282)/23069,345302282,True,23069:1649:4560,,1260/1357,4560/23069,-13949/46138,2,0,False,76/357,18509/21420,1649/4560,1649/18509,23069/4560,True,True,True,False,True,THREE_DISTANCE_SEED
49,11997,11900,4704,97,7293,12796,4705,13957,False,1*sqrt(53197258),1*sqrt(53197258)/11997,53197258,True,11997:97:4704,,11900/11997,1568/3999,-863/7998,-2,-1,True,168/425,429/700,97/4704,97/7293,3999/1568,True,True,True,False,True,THREE_DISTANCE_SEED
50,20280,8772,4795,11508,15485,9997,12467,17797,False,13*sqrt(2202481),13*sqrt(2202481)/20280,2202481,True,20280:4795:8772,,731/1690,959/4056,-1069/4056,0,-1,True,4795/8772,15485/8772,12/5,11508/15485,4056/959,True,True,True,False,True,THREE_DISTANCE_SEED
51,12675,8288,4884,4387,7791,9620,6565,11375,False,65*sqrt(18922),65*sqrt(18922)/12675,18922,True,12675:4387:4884,,8288/12675,1628/4225,-969/8450,-1,1,True,33/56,1113/1184,4387/4884,4387/7791,4225/1628,True,True,True,False,True,THREE_DISTANCE_SEED
52,11352,6944,4935,4408,6417,8519,6617,9455,False,1*sqrt(60608353),1*sqrt(60608353)/11352,60608353,True,11352:4408:4935,,868/1419,1645/3784,-247/3784,-1,0,True,705/992,207/224,4408/4935,4408/6417,3784/1645,True,True,True,False,True,THREE_DISTANCE_SEED
53,30195,6080,4956,24115,25239,7844,24619,25961,False,1*sqrt(1218540346),1*sqrt(1218540346)/30195,1218540346,True,30195:4956:6080,,1216/6039,1652/10065,-6761/20130,-2,-1,True,1239/1520,25239/6080,3445/708,24115/25239,10065/1652,True,True,True,False,True,THREE_DISTANCE_SEED
54,14739,10780,5040,3959,9699,11900,6409,14501,False,17*sqrt(379738),17*sqrt(379738)/14739,379738,True,14739:3959:5040,,10780/14739,1680/4913,-1553/9826,-1,0,True,36/77,9699/10780,3959/5040,3959/9699,4913/1680,True,True,True,False,True,THREE_DISTANCE_SEED
55,21853,11220,5040,10633,16813,12300,11767,20213,False,41*sqrt(235418),41*sqrt(235418)/21853,235418,True,21853:5040:10633,,11220/21853,5040/21853,-11773/43706,1,0,False,84/187,989/660,1519/720,10633/16813,21853/5040,True,True,True,False,True,THREE_DISTANCE_SEED
56,6015,3432,5600,2583,415,6568,6167,3457,False,1*sqrt(6844114),1*sqrt(6844114)/6015,6844114,True,6015:415:2583,42,1144/2005,1120/1203,1037/2406,0,-1,True,700/429,415/3432,369/800,2583/415,1203/1120,True,True,True,False,True,THREE_DISTANCE_SEED
57,9165,1540,5952,7625,3213,6148,9673,3563,False,1*sqrt(68463994),1*sqrt(68463994)/9165,68463994,True,9165:1540:3213,29,308/1833,1984/3055,913/6110,-1,0,True,1488/385,459/220,7625/5952,7625/3213,3055/1984,True,True,True,False,True,THREE_DISTANCE_SEED
58,30195,4956,6080,25239,24115,7844,25961,24619,False,1*sqrt(1218540346),1*sqrt(1218540346)/30195,1218540346,True,30195:4956:6080,53,1652/10065,1216/6039,-3607/12078,-1,-2,True,1520/1239,3445/708,25239/6080,25239/24115,6039/1216,True,True,True,False,True,THREE_DISTANCE_SEED
59,13156,1440,6837,11716,6319,6987,13565,6481,False,1*sqrt(177194417),1*sqrt(177194417)/13156,177194417,True,13156:1440:6319,27,360/3289,6837/13156,259/13156,2,0,False,2279/480,6319/1440,11716/6837,11716/6319,13156/6837,True,True,True,False,True,THREE_DISTANCE_SEED
60,49500,49383,6844,117,42656,49855,6845,65255,False,5*sqrt(72781921),5*sqrt(72781921)/49500,72781921,True,49500:117:6844,,5487/5500,1711/12375,-8953/24750,1,-2,True,116/837,1376/1593,117/6844,117/42656,12375/1711,True,True,True,False,True,THREE_DISTANCE_SEED
61,10879,1152,6864,9727,4015,6960,11905,4177,False,1*sqrt(110734754),1*sqrt(110734754)/10879,110734754,True,10879:1152:4015,24,1152/10879,624/989,259/1978,2,0,False,143/24,4015/1152,9727/6864,9727/4015,989/624,True,True,True,False,True,THREE_DISTANCE_SEED
62,11352,4935,6944,6417,4408,8519,9455,6617,False,1*sqrt(60608353),1*sqrt(60608353)/11352,60608353,True,11352:4408:4935,52,1645/3784,868/1419,317/2838,0,-1,True,992/705,4408/4935,207/224,6417/4408,1419/868,True,True,True,False,True,THREE_DISTANCE_SEED
63,9375,7896,7072,1479,2303,10600,7225,8225,False,25*sqrt(11986),25*sqrt(11986)/9375,11986,True,9375:1479:2303,,2632/3125,7072/9375,4769/18750,0,-1,True,884/987,7/24,87/416,1479/2303,9375/7072,True,True,True,False,True,THREE_DISTANCE_SEED
64,39988,19176,7245,20812,32743,20499,22037,37945,False,1*sqrt(1505243393),1*sqrt(1505243393)/39988,1505243393,True,39988:7245:19176,,4794/9997,7245/39988,-12749/39988,1,0,False,2415/6392,32743/19176,20812/7245,20812/32743,39988/7245,True,True,True,False,True,THREE_DISTANCE_SEED
65,11492,3135,7524,8357,3968,8151,11245,5057,False,13*sqrt(506417),13*sqrt(506417)/11492,506417,True,11492:3135:3968,40,3135/11492,1881/2873,889/5746,1,0,False,12/5,3968/3135,8357/7524,8357/3968,2873/1881,True,True,True,False,True,THREE_DISTANCE_SEED
66,21125,12768,7524,8357,13601,14820,11245,18655,False,65*sqrt(60314),65*sqrt(60314)/21125,60314,True,21125:7524:8357,,12768/21125,7524/21125,-6077/42250,1,0,False,33/56,1943/1824,8357/7524,8357/13601,21125/7524,True,True,True,False,True,THREE_DISTANCE_SEED
67,43700,35343,7524,8357,36176,36135,11245,50575,False,5*sqrt(55141697),5*sqrt(55141697)/43700,55141697,True,43700:7524:8357,,35343/43700,99/575,-377/1150,3,0,False,76/357,304/297,8357/7524,8357/36176,575/99,True,True,True,False,True,THREE_DISTANCE_SEED
68,9375,7072,7896,2303,1479,10600,8225,7225,False,25*sqrt(11986),25*sqrt(11986)/9375,11986,True,9375:1479:2303,63,7072/9375,2632/3125,2139/6250,-1,1,True,987/884,87/416,7/24,2303/1479,3125/2632,True,True,True,False,True,THREE_DISTANCE_SEED
69,31955,21840,7956,10115,23999,23244,12869,32449,False,1*sqrt(678265226),1*sqrt(678265226)/31955,678265226,True,31955:7956:10115,,624/913,7956/31955,-16043/63910,1,0,False,51/140,23999/21840,595/468,10115/23999,31955/7956,True,True,True,False,True,THREE_DISTANCE_SEED
70,21320,11025,7992,10295,13328,13617,13033,17297,False,1*sqrt(283622609),1*sqrt(283622609)/21320,283622609,True,21320:7992:10295,,2205/4264,999/2665,-667/5330,2,0,False,888/1225,272/225,10295/7992,10295/13328,2665/999,True,True,True,False,True,THREE_DISTANCE_SEED
71,20988,8619,8008,12369,12980,11765,14735,15581,False,1*sqrt(321472561),1*sqrt(321472561)/20988,321472561,True,20988:8008:8619,,2873/6996,182/477,-113/954,-1,-2,True,616/663,12980/8619,1767/1144,12369/12980,477/182,True,True,True,False,True,THREE_DISTANCE_SEED
72,14355,1440,8036,12915,6319,8164,15211,6481,False,1*sqrt(206726986),1*sqrt(206726986)/14355,206726986,True,14355:1440:6319,28,32/319,8036/14355,1717/28710,0,-2,True,2009/360,6319/1440,45/28,12915/6319,14355/8036,True,True,True,False,True,THREE_DISTANCE_SEED
