curve_label,delta,numerator,denominator,polynomial,denominator_square,known_basepoints,sage_status,rank_info
B_fiber,39/11,56*u,-11*(u - 1)*(u + 1),121*u**4 + 2894*u**2 + 121,121*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,39/11,11*u**2 + 78*u - 11,22*u,121*u**4 + 1716*u**3 + 6326*u**2 - 1716*u + 121,484*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,39/11,11*u**2 + 78*u - 11,56*u,121*u**4 + 1716*u**3 + 8978*u**2 - 1716*u + 121,3136*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,65/16,49*u,-8*(u - 1)*(u + 1),64*u**4 + 2273*u**2 + 64,64*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,65/16,8*u**2 + 65*u - 8,16*u,64*u**4 + 1040*u**3 + 4353*u**2 - 1040*u + 64,256*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,65/16,8*u**2 + 65*u - 8,49*u,2*(32*u**4 + 520*u**3 + 3249*u**2 - 520*u + 32),2401*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,39/28,11*u,-14*(u - 1)*(u + 1),196*u**4 - 271*u**2 + 196,196*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,39/28,14*u**2 + 39*u - 14,28*u,196*u**4 + 1092*u**3 + 1913*u**2 - 1092*u + 196,784*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,39/28,14*u**2 + 39*u - 14,11*u,2*(98*u**4 + 546*u**3 + 625*u**2 - 546*u + 98),121*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,12675/11891,1568*u,-11891*(u - 1)*(u + 1),141395881*u**4 - 280333138*u**2 + 141395881,141395881*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,12675/11891,11891*u**2 + 25350*u - 11891,23782*u,141395881*u**4 + 602873700*u**3 + 925414262*u**2 - 602873700*u + 141395881,565583524*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,12675/11891,11891*u**2 + 25350*u - 11891,1568*u,141395881*u**4 + 602873700*u**3 + 362289362*u**2 - 602873700*u + 141395881,2458624*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,4225/1029,6392*u,-1029*(u - 1)*(u + 1),1058841*u**4 + 38739982*u**2 + 1058841,1058841*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,4225/1029,1029*u**2 + 8450*u - 1029,2058*u,1058841*u**4 + 17390100*u**3 + 73520182*u**2 - 17390100*u + 1058841,4235364*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,4225/1029,1029*u**2 + 8450*u - 1029,6392*u,1058841*u**4 + 17390100*u**3 + 110142482*u**2 - 17390100*u + 1058841,40857664*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,12675/784,11891*u,-392*(u - 1)*(u + 1),153664*u**4 + 141088553*u**2 + 153664,153664*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,12675/784,392*u**2 + 12675*u - 392,784*u,153664*u**4 + 9937200*u**3 + 160962953*u**2 - 9937200*u + 153664,614656*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,12675/784,392*u**2 + 12675*u - 392,11891*u,2*(76832*u**4 + 4968600*u**3 + 150872089*u**2 - 4968600*u + 76832),141395881*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,4225/3196,1029*u,-1598*(u - 1)*(u + 1),2553604*u**4 - 4048367*u**2 + 2553604,2553604*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,4225/3196,1598*u**2 + 4225*u - 1598,3196*u,2553604*u**4 + 13503100*u**3 + 22957833*u**2 - 13503100*u + 2553604,10214416*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,4225/3196,1598*u**2 + 4225*u - 1598,1029*u,2*(1276802*u**4 + 6751550*u**3 + 6901129*u**2 - 6751550*u + 1276802),1058841*u**2,,Sage unavailable; rank/generator search skipped.,skipped
