category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
mcc_live_score,451/780,87/416,8/15,87/451,1,730,730,True,False,True,True,260/289,451/867,867,780,451,87,416,0,-1,True,True,False,True,780,180047/36192,2023/1560,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,-8/15,0,23/15,0,754,1,754,False,True,True,True,1,-8/15,15,15,-8,0,23,0,-1,True,True,False,False,23,451/87,289/120,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-15/8,35/12,-3/2,7/3,13,58,754,False,False,False,True,-8/27,5/9,27,-8,15,35,12,-3,-2,True,True,False,False,35,263/116,15/4,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-8/15,12/35,7/3,-3/2,58,13,754,False,False,False,True,5/9,-8/27,27,15,-8,12,35,-2,-3,True,True,False,False,35,14741/3045,289/120,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,12/35,-8/15,3/7,-2/3,58,13,754,False,False,False,True,35/27,4/9,27,35,12,-8,15,-3,-2,True,True,False,False,35,829/145,429/280,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,35/12,-15/8,-2/3,3/7,13,58,754,False,False,False,True,4/9,35/27,27,12,35,15,-8,-2,-3,True,True,False,False,35,4913/696,25/24,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,7/24,0,17/24,0,865,1,865,False,True,True,True,1,7/24,24,24,7,0,17,0,-1,True,True,False,False,24,451/87,19/12,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,12/5,352/135,27/31,88/93,10,97,970,False,False,False,True,155/507,124/169,507,155,372,352,135,-1,0,True,True,False,True,352,10087/3915,21/40,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,352/135,12/5,31/27,93/88,10,97,970,False,False,False,True,45/169,352/507,507,135,352,372,155,2,-1,True,True,False,True,352,1211/435,791/1080,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,135/352,5/12,93/88,31/27,97,10,970,False,False,False,True,352/507,45/169,507,352,135,155,372,-1,0,True,True,False,True,352,553/116,525/352,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,5/12,135/352,88/93,27/31,97,10,970,False,False,False,True,124/169,155/507,507,372,155,135,352,0,-1,True,True,False,True,352,147007/30624,35/24,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-51/140,527/336,-12/5,31/3,1,970,970,True,False,True,True,-140/387,17/129,387,-140,51,527,336,-2,-1,True,True,False,False,527,11743/3248,627/280,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,-140/51,336/527,31/3,-12/5,970,1,970,False,True,True,True,17/129,-140/387,387,51,-140,336,527,-1,-2,True,True,False,False,527,208445/45849,1885/408,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,527/336,-51/140,-5/12,3/31,1,970,970,True,False,True,True,112/129,527/387,387,336,527,51,-140,-1,-2,True,True,False,False,527,67577/12180,103/336,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,336/527,-140/51,3/31,-5/12,970,1,970,False,True,True,True,527/387,112/129,387,527,336,-140,51,-2,-1,True,True,False,False,527,3909/493,5217/4216,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,40/9,0,-31/9,0,1042,1,1042,False,True,True,False,1,40/9,9,9,40,0,-31,0,-2,True,True,False,False,40,451/87,185/72,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,4/3,24/7,7/51,6/17,106,13,1378,False,False,False,True,17/25,68/75,75,51,68,24,7,0,-1,True,True,False,True,51,1069/609,13/24,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,24/7,4/3,51/7,17/6,106,13,1378,False,False,False,True,7/75,8/25,75,7,24,68,51,-1,2,True,True,False,True,51,335/87,87/56,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,7/24,3/4,17/6,51/7,13,106,1378,False,False,False,True,8/25,7/75,75,24,7,51,68,0,-1,True,True,False,True,51,1543/348,19/12,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,3/4,7/24,6/17,7/51,13,106,1378,False,False,False,True,68/75,17/25,75,68,51,7,24,-1,2,True,True,False,True,51,1135/232,9/8,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-7/24,0,31/24,0,1537,1,1537,False,True,True,False,1,-7/24,24,24,-7,0,31,0,-1,True,True,False,False,31,451/87,13/6,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,925/372,0,-553/372,0,1537,1,1537,False,True,True,False,1,925/372,372,372,925,0,-553,0,-1,True,True,False,False,925,451/87,455/744,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-155/468,15/8,-178/117,267/31,157,10,1570,False,False,False,True,-156/289,155/867,867,-468,155,1335,712,1,-1,True,True,False,False,468,2303/696,2065/936,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-468/155,8/15,267/31,-178/117,10,157,1570,False,False,False,True,155/867,-156/289,867,155,-468,712,1335,-1,0,True,True,False,False,468,2023/435,6069/1240,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,15/8,-155/468,-117/178,31/267,157,10,1570,False,False,False,True,712/867,445/289,867,712,1335,155,-468,-1,0,True,True,False,False,468,74851/13572,0,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,8/15,-468/155,31/267,-117/178,10,157,1570,False,False,False,True,445/289,712/867,867,1335,712,-468,155,0,-1,True,True,False,False,468,110621/13485,161/120,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,56/33,0,-23/33,0,1618,1,1618,False,True,True,False,1,56/33,33,33,56,0,-23,0,-1,True,True,False,False,56,451/87,47/264,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,575/48,0,-527/48,0,1657,1,1657,False,True,True,False,1,575/48,48,48,575,0,-527,0,-1,True,True,False,False,575,451/87,485/48,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-37/684,39/760,10/9,-39/37,181,10,1810,False,False,False,True,228/241,-37/723,723,684,-37,39,760,1,-1,True,True,False,False,760,339367/66120,2639/1368,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,39/760,-37/684,9/10,-37/39,181,10,1810,False,False,False,True,760/723,13/241,723,760,39,-37,684,-1,0,True,True,False,False,760,103901/19836,693/380,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-684/37,760/39,-39/37,10/9,10,181,1810,False,False,False,True,-37/723,228/241,723,-37,684,760,39,-1,0,True,True,False,False,760,16177/1131,6027/296,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,760/39,-684/37,-37/39,9/10,10,181,1810,False,False,False,True,13/241,760/723,723,39,760,684,-37,0,-1,True,True,False,False,760,76195/3219,5495/312,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-20/21,0,41/21,0,2122,1,2122,False,True,True,False,1,-20/21,21,21,-20,0,41,0,-1,True,True,False,False,41,451/87,475/168,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,28/45,0,17/45,0,2314,1,2314,False,True,True,False,1,28/45,45,45,28,0,17,0,-2,True,True,False,False,45,451/87,451/360,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-35/12,0,47/12,0,2353,1,2353,False,True,True,False,1,-35/12,12,12,-35,0,47,0,-1,True,True,False,False,47,451/87,115/24,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,55/48,0,-7/48,0,2353,1,2353,False,True,True,False,1,55/48,48,48,55,0,-7,0,-1,True,True,False,False,55,451/87,35/48,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,660/779,176/57,-3/41,-4/15,10,241,2410,False,False,False,True,779/603,220/201,603,779,660,-176,-57,-2,-1,True,True,False,False,779,1155/551,6405/6232,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,57/176,779/660,-15/4,-41/3,241,10,2410,False,False,False,True,-176/603,-19/201,603,-176,-57,779,660,-2,-1,True,True,False,False,779,25543/6380,273/176,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
