category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
top_score,-36/77,-77/36,36/77,77/36,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,77,7645/1044,1443/616,degenerate_infinity
top_score,39/80,80/39,-39/80,-80/39,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,80,1181/377,111/80,degenerate_infinity
top_score,80/39,39/80,-80/39,-39/80,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,80,32687/6960,55/312,degenerate_infinity
top_score,-80/39,-39/80,80/39,39/80,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,80,39473/6960,1225/312,degenerate_infinity
top_score,-39/80,-80/39,39/80,80/39,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,80,8183/1131,189/80,degenerate_infinity
top_score,13/84,84/13,-13/84,-84/13,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,84,1445/1131,289/168,degenerate_infinity
top_score,84/13,13/84,-84/13,-13/84,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,84,12251/2436,477/104,degenerate_infinity
top_score,-84/13,-13/84,84/13,13/84,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,84,4335/812,867/104,degenerate_infinity
top_score,-13/84,-84/13,13/84,84/13,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,84,13171/1131,341/168,degenerate_infinity
top_score,60/91,91/60,-60/91,-91/60,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,91,2127/580,885/728,degenerate_infinity
top_score,91/60,60/91,-91/60,-60/91,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,91,35821/7917,43/120,degenerate_infinity
top_score,-91/60,-60/91,91/60,60/91,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,91,46261/7917,407/120,degenerate_infinity
